,LinkRef,LinkDescription,Date,TimePeriod,AverageJT,AverageSpeed,DataQuality,LinkLength,Flow
0,AL100,A414 between M1 J7 and A405 (AL100),20150301,00,138.26,117.43,1,4.510000229,31.0
1,AL100,A414 between M1 J7 and A405 (AL100),20150301,01,138.26,117.43,1,4.510000229,32.5
2,AL100,A414 between M1 J7 and A405 (AL100),20150301,02,138.26,117.43,1,4.510000229,26.5
3,AL100,A414 between M1 J7 and A405 (AL100),20150301,03,138.26,117.43,1,4.510000229,23.5
4,AL100,A414 between M1 J7 and A405 (AL100),20150301,04,138.26,117.43,1,4.510000229,18.0
5,AL100,A414 between M1 J7 and A405 (AL100),20150301,05,150.45,107.92,3,4.510000229,17.0
6,AL100,A414 between M1 J7 and A405 (AL100),20150301,06,159.53,101.77,3,4.510000229,16.0
7,AL100,A414 between M1 J7 and A405 (AL100),20150301,07,158.16,102.66,3,4.510000229,13.5
8,AL100,A414 between M1 J7 and A405 (AL100),20150301,08,164.2,98.88,3,4.510000229,11.0
9,AL100,A414 between M1 J7 and A405 (AL100),20150301,09,163.27,99.44,3,4.510000229,13.0
10,AL100,A414 between M1 J7 and A405 (AL100),20150301,10,172.7,94.01,3,4.510000229,11.5
11,AL100,A414 between M1 J7 and A405 (AL100),20150301,11,145.13,111.87,3,4.510000229,9.0
12,AL100,A414 between M1 J7 and A405 (AL100),20150301,12,145.48,111.6,3,4.510000229,11.0
13,AL100,A414 between M1 J7 and A405 (AL100),20150301,13,150.89,107.6,3,4.510000229,10.0
14,AL100,A414 between M1 J7 and A405 (AL100),20150301,14,142.57,113.88,3,4.510000229,12.5
15,AL100,A414 between M1 J7 and A405 (AL100),20150301,15,166.83,97.32,3,4.510000229,10.5
16,AL100,A414 between M1 J7 and A405 (AL100),20150301,16,165.2,98.28,3,4.510000229,10.5
17,AL100,A414 between M1 J7 and A405 (AL100),20150301,17,163.32,99.41,3,4.510000229,10.0
18,AL100,A414 between M1 J7 and A405 (AL100),20150301,18,156.27,103.9,3,4.510000229,15.0
19,AL100,A414 between M1 J7 and A405 (AL100),20150301,19,151.88,106.9,3,4.510000229,11.0
20,AL100,A414 between M1 J7 and A405 (AL100),20150301,20,155.89,104.15,3,4.510000229,15.0
21,AL100,A414 between M1 J7 and A405 (AL100),20150301,21,150.73,107.72,3,4.510000229,24.5
22,AL100,A414 between M1 J7 and A405 (AL100),20150301,22,144.03,112.73,3,4.510000229,26.5
23,AL100,A414 between M1 J7 and A405 (AL100),20150301,23,152.58,106.41,3,4.510000229,24.5
24,AL100,A414 between M1 J7 and A405 (AL100),20150301,24,151.03,107.5,3,4.510000229,27.0
25,AL100,A414 between M1 J7 and A405 (AL100),20150301,25,154.4,105.16,3,4.510000229,33.0
26,AL100,A414 between M1 J7 and A405 (AL100),20150301,26,146.23,111.03,3,4.510000229,43.5
27,AL100,A414 between M1 J7 and A405 (AL100),20150301,27,193.03,84.11,1,4.510000229,36.0
28,AL100,A414 between M1 J7 and A405 (AL100),20150301,28,193.03,84.11,1,4.510000229,41.0
29,AL100,A414 between M1 J7 and A405 (AL100),20150301,29,193.03,84.11,1,4.510000229,42.5
30,AL100,A414 between M1 J7 and A405 (AL100),20150301,30,193.03,84.11,1,4.510000229,53.0
31,AL100,A414 between M1 J7 and A405 (AL100),20150301,31,166.46,97.54,1,4.510000229,52.5
32,AL100,A414 between M1 J7 and A405 (AL100),20150301,32,139.88,116.07,1,4.510000229,54.5
33,AL100,A414 between M1 J7 and A405 (AL100),20150301,33,139.88,116.07,1,4.510000229,54.5
34,AL100,A414 between M1 J7 and A405 (AL100),20150301,34,139.88,116.07,1,4.510000229,69.0
35,AL100,A414 between M1 J7 and A405 (AL100),20150301,35,139.88,116.07,1,4.510000229,82.0
36,AL100,A414 between M1 J7 and A405 (AL100),20150301,36,152.5,106.47,3,4.510000229,96.5
37,AL100,A414 between M1 J7 and A405 (AL100),20150301,37,156.03,104.06,1,4.510000229,111.5
38,AL100,A414 between M1 J7 and A405 (AL100),20150301,38,156.03,104.06,1,4.510000229,126.5
39,AL100,A414 between M1 J7 and A405 (AL100),20150301,39,156.03,104.06,1,4.510000229,118.5
40,AL100,A414 between M1 J7 and A405 (AL100),20150301,40,156.03,104.06,1,4.510000229,119.5
41,AL100,A414 between M1 J7 and A405 (AL100),20150301,41,155.24,104.59,1,4.510000229,137.5
42,AL100,A414 between M1 J7 and A405 (AL100),20150301,42,154.44,105.13,1,4.510000229,142.0
43,AL100,A414 between M1 J7 and A405 (AL100),20150301,43,154.44,105.13,1,4.510000229,143.0
44,AL100,A414 between M1 J7 and A405 (AL100),20150301,44,146.85,110.56,1,4.510000229,146.0
45,AL100,A414 between M1 J7 and A405 (AL100),20150301,45,146.85,110.56,1,4.510000229,163.0
46,AL100,A414 between M1 J7 and A405 (AL100),20150301,46,146.85,110.56,1,4.510000229,170.0
47,AL100,A414 between M1 J7 and A405 (AL100),20150301,47,142.11,114.25,3,4.510000229,165.0
48,AL100,A414 between M1 J7 and A405 (AL100),20150301,48,154.89,104.82,1,4.510000229,170.5
49,AL100,A414 between M1 J7 and A405 (AL100),20150301,49,154.89,104.82,1,4.510000229,179.5
50,AL100,A414 between M1 J7 and A405 (AL100),20150301,50,154.89,104.82,1,4.510000229,181.5
51,AL100,A414 between M1 J7 and A405 (AL100),20150301,51,142.58,113.87,1,4.510000229,161.5
52,AL100,A414 between M1 J7 and A405 (AL100),20150301,52,130.26,124.64,1,4.510000229,184.0
53,AL100,A414 between M1 J7 and A405 (AL100),20150301,53,136.45,118.99,1,4.510000229,162.5
54,AL100,A414 between M1 J7 and A405 (AL100),20150301,54,162.73,99.77,1,4.510000229,178.5
55,AL100,A414 between M1 J7 and A405 (AL100),20150301,55,146.27,111.0,1,4.510000229,164.0
56,AL100,A414 between M1 J7 and A405 (AL100),20150301,56,122.86,132.15,1,4.510000229,166.0
57,AL100,A414 between M1 J7 and A405 (AL100),20150301,57,122.86,132.15,1,4.510000229,169.5
58,AL100,A414 between M1 J7 and A405 (AL100),20150301,58,122.86,132.15,1,4.510000229,160.0
59,AL100,A414 between M1 J7 and A405 (AL100),20150301,59,139.91,116.05,3,4.510000229,156.5
60,AL100,A414 between M1 J7 and A405 (AL100),20150301,60,147.69,109.93,3,4.510000229,135.0
61,AL100,A414 between M1 J7 and A405 (AL100),20150301,61,128.16,126.69,1,4.510000229,145.5
62,AL100,A414 between M1 J7 and A405 (AL100),20150301,62,128.16,126.69,1,4.510000229,151.0
63,AL100,A414 between M1 J7 and A405 (AL100),20150301,63,128.16,126.69,1,4.510000229,144.0
64,AL100,A414 between M1 J7 and A405 (AL100),20150301,64,135.8,119.56,1,4.510000229,146.5
65,AL100,A414 between M1 J7 and A405 (AL100),20150301,65,143.43,113.2,1,4.510000229,145.5
66,AL100,A414 between M1 J7 and A405 (AL100),20150301,66,144.24,112.56,1,4.510000229,159.5
67,AL100,A414 between M1 J7 and A405 (AL100),20150301,67,145.04,111.94,1,4.510000229,139.5
68,AL100,A414 between M1 J7 and A405 (AL100),20150301,68,145.04,111.94,1,4.510000229,154.5
69,AL100,A414 between M1 J7 and A405 (AL100),20150301,69,180.18,90.11,1,4.510000229,152.5
70,AL100,A414 between M1 J7 and A405 (AL100),20150301,70,180.18,90.11,1,4.510000229,147.0
71,AL100,A414 between M1 J7 and A405 (AL100),20150301,71,180.18,90.11,1,4.510000229,140.0
72,AL100,A414 between M1 J7 and A405 (AL100),20150301,72,180.18,90.11,1,4.510000229,142.5
73,AL100,A414 between M1 J7 and A405 (AL100),20150301,73,172.21,94.28,1,4.510000229,159.5
